,EIN,tax_pd,contributed_rev,earned_program_service_rev,total_rev,total_exp,gross_rev,Source,45_of_Gross_max_10m,45_of_Earned_max_10m,100_of_Earned_upto_45_Gross_max_10m,NAME,STATE,NAICS,NTEEFINAL
110962,391476970,201812,31238,228753,259997,164720,259997,2019-990,116998.65000000001,102938.85,116998.65000000001,PHI GAMMA DELA LANDMARK PRESERVATION ASSOCATION,IL,712120.0,A82
110978,840855158,201812,45454,9212,62927,53986,79316,2019-990,35692.200000000004,4145.400000000001,9212.0,OLD COLORADO CITY HISTORICAL SOCIETY,CO,712120.0,A82
110979,840855158,201812,45454,9212,62927,53986,79316,2019-990,35692.200000000004,4145.400000000001,9212.0,OLD COLORADO CITY HISTORICAL SOCIETY,CO,712120.0,A82
111031,752940167,201812,383373,15308,502743,562785,621751,2019-990,279787.95,6888.6,15308.0,AGRICULTURE HERITAGE MUSEUM INC,TX,712110.0,A57
111060,410873609,201812,131581,3841,172388,173648,180034,2019-990,81015.3,1728.45,3841.0,BECKER COUNTY HISTORICAL SOCIETY,MN,712120.0,A82
111076,410799310,201812,696937,50116,889545,830240,889545,2019-990,400295.25,22552.2,50116.0,ROCHESTER ART CENTER,MN,712110.0,A51
111132,431354344,201906,7194,0,153447,172677,261397,2019-990,117628.65000000001,0.0,0.0,AMVETS,MO,712120.0,A80
111135,630958984,201812,304279,1835735,2762110,2795616,2971443,2019-990,1337149.35,826080.75,1337149.35,BIRMINGHAM LANDMARKS INC,AL,712120.0,A80
111161,42105868,201812,1282748,1325425,3002259,4859775,9310443,2019-990,4189699.35,596441.25,1325425.0,WORCESTER NATURAL HISTORY SOCIETY,MA,712110.0,A56
111246,860665886,201812,239638,41003,330707,201528,343643,2019-990,154639.35,18451.350000000002,41003.0,ROBERT LOUIS STEVENSON MUSEUM- PRESERVATION FOUNDATION INC,AZ,712110.0,A54
111265,752950156,201812,195438,21457,216895,163447,216895,2019-990,97602.75,9655.65,21457.0,MADI WORLD ART FOUNDATION,TX,712110.0,A51
111293,391095660,201812,141447,82814,232393,228203,240937,2019-990,108421.65000000001,37266.3,82814.0,MILTON HISTORICAL SOCIETY,WI,712120.0,A82
111294,526057064,201812,4885053,4140608,11323064,11115904,21364378,2019-990,9613970.1,1863273.6,4140608.0,NATIONAL TROPICAL BOTANICAL GARDEN,HI,712130.0,C41
111348,136161708,201812,237312,191234,757906,715881,1131455,2019-990,509154.75,86055.3,191234.0,MILLICENT ROGERS MUSEUM INC,NM,712110.0,A53
111407,916054959,201812,66306,22207,134604,126403,148728,2019-990,66927.6,9993.15,22207.0,ORCAS ISLAND HISTORICAL SOCIETY,WA,712120.0,A82
111423,730579279,201906,3955566,715365,20960860,9031612,24255448,2019-990,10000000.0,321914.25,715365.0,PHILBROOK MUSEUM OF ART INC,OK,712110.0,A51
111472,226074979,201812,217612,81441,659258,586505,960025,2019-990,432011.25,36648.450000000004,81441.0,HISTORICAL SOCIETY OF PRINCETON NEW JERSEY,NJ,712120.0,A82
111492,371282129,201812,23656,159196,195486,231597,196091,2019-990,88240.95,71638.2,88240.95,ORPHEUM CHILDRENS SCIENCE MUSEUM INC,IL,712110.0,A52
111509,726000331,201812,14676068,1217045,33079496,14504157,67882093,2019-990,10000000.0,547670.25,1217045.0,NEW ORLEANS MUSEUM OF ART,LA,712110.0,A51
111523,743007981,201812,650361,102506,760506,191507,761615,2019-990,342726.75,46127.700000000004,102506.0,MUSEUM OF THE AMERICAN G I INC,TX,712110.0,A54
111613,956121776,201812,100915,82560,384385,497646,623099,2019-990,280394.55,37152.0,82560.0,SANTA YNEZ VALLEY HISTORICAL SOCIETY,CA,712120.0,A82
111643,953122313,201812,259716,447854,721122,700415,721122,2019-990,324504.9,201534.30000000002,324504.9,PASADENA HERITAGE,CA,712120.0,A82
111645,460391895,201812,16339,0,38154,23798,49027,2019-990,22062.15,0.0,0.0,DAKOTALAND MUSEUM,SD,712110.0,A54
111659,480934802,201812,0,223085,277182,293109,277182,2019-990,124731.90000000001,100388.25,124731.90000000001,NEEWOLLAH INC,KS,712120.0,A84
111668,251705885,201812,321666,78647,503285,236692,660669,2019-990,297301.05,35391.15,78647.0,THE HERSHEY-DERRY TOWNSHIP HISTORIAL SOCIETY,PA,712120.0,A82
111689,742497117,201812,263885,1100959,1636053,1438689,1636153,2019-990,736268.85,495431.55,736268.85,DR PEPPER MUSEUM AND FREE ENTERPRISE INSTITUTE,TX,712110.0,A50
111699,371356298,201812,571181,138109,692666,389591,716820,2019-990,322569.0,62149.05,138109.0,GALESBURG MUSEUMS INC,IL,712110.0,A52
111711,111700962,201812,512685,10105,645264,455400,1054529,2019-990,474538.05,4547.25,10105.0,SUFFOLK COUNTY HISTORICAL SOCIETY,NY,712120.0,A82
111839,631106693,201812,21426,17672,44788,73756,44788,2019-990,20154.600000000002,7952.400000000001,17672.0,MOBILE MEDICAL MUSEUM INC,AL,712110.0,A54
111879,350867985,201812,16879405,15653974,67730361,46662761,91343593,2019-990,10000000.0,7044288.3,10000000.0,CHILDRENS MUSEUM OF INDIANAPOLIS INCORPORATED,IN,712110.0,A52
111911,810406403,201812,10811,6568,86696,104361,160525,2019-990,72236.25,2955.6,6568.0,STUMPTOWN HISTORICAL SOCIETY OF FLATHEAD COUNTY INC,MT,712120.0,A82
111940,263189080,201812,0,2100049,2101175,167484,2101175,2019-990,945528.75,945022.05,945528.75,HISTORIC PRESERVATION PARTNERS INC,KS,712120.0,A82
111954,237023444,201812,4863,20195,43423,32862,49096,2019-990,22093.2,9087.75,20195.0,HISTORIC HERMANN INC,MO,712120.0,A80
111962,770106732,201812,230230,2540,224006,316974,224006,2019-990,100802.7,1143.0,2540.0,MUSEUM OF AMERICAN HERITAGE,CA,712110.0,A54
111970,580669887,201812,104607,60555,209832,182041,219276,2019-990,98674.2,27249.75,60555.0,SAVANNAH SCIENCE MUSEUM INC,GA,712110.0,A56
111973,510178512,201812,18646,0,25066,30949,31692,2019-990,14261.4,0.0,0.0,CARLISLE HISTORICAL SOCIETY INC,MA,712120.0,A82
111989,463009387,201812,0,88000,88000,579291,88000,2019-990,39600.0,39600.0,39600.0,NATIONAL MARITIME MUSUEM OF THE GULF OF MEXICO HOLDINGS,AL,712110.0,A50
111999,410871254,201812,199544,44113,255607,269730,265624,2019-990,119530.8,19850.850000000002,44113.0,NICOLLET COUNTY HISTORICAL SOCIETY,MN,712120.0,A82
112019,43157815,201812,9330069,3023890,51898604,43655254,206563514,2019-990,10000000.0,1360750.5,3023890.0,PEABODY ESSEX MUSEUM INC,MA,712110.0,A50
112170,830350759,201812,16761,95763,90499,213317,171360,2019-990,77112.0,43093.35,77112.0,ELDRIDGE PARK CAROUSEL PRESERVATION SOCITY INC,NY,712120.0,A82
112265,550754775,201812,250262,69442,320829,363927,320829,2019-990,144373.05000000002,31248.9,69442.0,WEST VIRGINIA BOTANIC GARDEN INC,WV,712130.0,C41
112267,472542511,201812,0,64000,64000,319844,64000,2019-990,28800.0,28800.0,28800.0,NATIONAL MARITIME MUSEUM OF THE GULF OF MEXICO HOLDINGS II,AL,712110.0,A50
112276,770011516,201812,194012,217655,452817,450250,512459,2019-990,230606.55000000002,97944.75,217655.0,LOS PADRES FOREST ASSOCIATION INC,CA,712120.0,A80
112279,522291247,201812,311988,147500,477625,424775,496567,2019-990,223455.15,66375.0,147500.0,ITHACA CHILDRENS GARDEN INC,NY,712130.0,C41
112339,382153808,201812,365965,389481,913598,1100622,979712,2019-990,440870.4,175266.45,389481.0,POTTER PARK ZOOLOGICAL SOCIETY,MI,712130.0,D50
112349,942776031,201812,52325,6831,78591,62900,97547,2019-990,43896.15,3073.9500000000003,6831.0,LACE MUSEUM INC,CA,712110.0,A54
112385,208641779,201812,147989,124863,282689,279318,287218,2019-990,129248.1,56188.35,124863.0,LIMA COMPANY MEMORIAL,OH,712120.0,A84
112426,264349122,201906,128015,0,128016,98353,128016,2019-990,57607.200000000004,0.0,0.0,UNITED STATES LIGHTSHIP MUSEUM INC,MA,712110.0,A50
112431,631102879,201812,1233731,364211,1740324,1858881,1783275,2019-990,802473.75,163894.95,364211.0,NATIONAL MARITIME MUSEUM OF THE GULF OF MEXICO,AL,712110.0,A50
112469,222688274,201812,698319,0,494387,579174,1038385,2019-990,467273.25,0.0,0.0,PENNSYLVANIA SOCIETY,PA,712120.0,A80
112471,721479496,201812,2960406,807926,4324693,3413038,4749925,2019-990,2137466.25,363566.7,807926.0,THE OGDEN MUSEUM OF SOUTHERN ART INC,LA,712110.0,A50
112482,952373533,201812,749213,0,684888,495820,790243,2019-990,355609.35000000003,0.0,0.0,MT SOLEDAD MEMORIAL ASSOCIATION,CA,712120.0,A80
112490,237325436,201812,85931,24954,144175,103359,147080,2019-990,66186.0,11229.300000000001,24954.0,SALEM HISTORICAL SOCIETY INC,OH,712120.0,A82
112518,561310542,201812,0,0,-6045,24158,24000,2019-990,10800.0,0.0,0.0,COMMITTEE TO RESTORE AND PRESERVE THIRD WARD INC,NC,712120.0,A82
112581,237408475,201812,62409,173846,261260,239974,294808,2019-990,132663.6,78230.7,132663.6,MORMON HISTORY ASSOCIATION,UT,712120.0,A80
112619,916054975,201812,765875,844551,1752560,1433379,1860026,2019-990,837011.7000000001,380047.95,837011.7000000001,THE NORTHWEST RAILWAY MUSEUM,WA,712110.0,A50
112646,710750464,201812,493369,126536,666339,765349,825393,2019-990,371426.85000000003,56941.200000000004,126536.0,BOTANICAL GARDEN SOCIETY OF THE OZARKS INC,AR,712130.0,C41
112723,746012053,201812,120695,0,120353,159271,128960,2019-990,58032.0,0.0,0.0,SONS OF THE REPUBLIC OF TEXAS,TX,712120.0,A80
112740,203821302,201812,79575,0,83427,83189,83427,2019-990,37542.15,0.0,0.0,HISTORIC ELMWOOD FOUNDATION,MI,712120.0,A82
112861,541588657,201812,43542,38650,167749,148911,194788,2019-990,87654.6,17392.5,38650.0,HISTORIC POLEGREEN CHURCH FOUNDATION,VA,712120.0,A80
112887,273101937,201812,508946,0,527607,467672,541884,2019-990,243847.80000000002,0.0,0.0,OLD VERO ICE AGE SITES COMMITTEE INC,FL,712110.0,A56
112962,237345974,201812,337093,131870,670139,577203,675396,2019-990,303928.2,59341.5,131870.0,MOUNT PISGAH ARBORETUM,OR,712130.0,C41
112967,330532354,201812,7298446,28815576,40528323,33041046,44612535,2019-990,10000000.0,10000000.0,10000000.0,AQUARIUM OF THE PACIFIC,CA,712130.0,D50
113081,753074727,201812,350397,100885,484993,208730,527808,2019-990,237513.6,45398.25,100885.0,MISSOURI CIVIL WAR MUSEUM,MO,712110.0,A54
113104,521319585,201812,118039,358681,476720,485707,476720,2019-990,214524.0,161406.45,214524.0,GREAT BLACKS IN WAX MUSEUM INC,MD,712110.0,A53
113113,450306858,201812,380459,87032,497490,450810,614303,2019-990,276436.35000000003,39164.4,87032.0,CASS COUNTY NORTH DAKOTA HISTORICAL SOCIETY,ND,712120.0,A82
113129,510205032,201906,298247,0,526199,529540,707961,2019-990,318582.45,0.0,0.0,MISSION INN FOUNDATION,CA,712110.0,A54
113138,943001337,201812,203900,1600,203093,611000,205593,2019-990,92516.85,720.0,1600.0,SAN FRANCISCO SPECIAL EVENTS COMMITTEE,CA,712120.0,A84
113183,200718450,201906,153291,112903,266280,226983,266280,2019-990,119826.0,50806.35,112903.0,MAINE NATURAL HISTORY OBSERVATORY,ME,712110.0,A50
113215,330799944,201812,34824,0,66842,63691,77469,2019-990,34861.05,0.0,0.0,OLAF WIEGHORST MUSEUM FOUNDATION,CA,712110.0,A51
113300,680474679,201812,2593195,82623,2676061,330008,6259761,2019-990,2816892.45,37180.35,82623.0,NILES ESSANAY SILENT FILM MUSEUM INC,CA,712110.0,A50
113396,510213433,201906,625144,9107,685700,110393,702231,2019-990,316003.95,4098.150000000001,9107.0,CULPEPER CAVALRY MUSEUM INC,VA,712110.0,A54
113481,473836379,201812,85911,164892,253255,458872,253255,2019-990,113964.75,74201.40000000001,113964.75,WASHINGTON HALL QALICB,WA,712120.0,A80
113513,630972961,201812,30557,6359,43075,139375,46537,2019-990,20941.65,2861.55,6359.0,RUSSELL COUNTY HISTORICAL COMMISSION,AL,712120.0,A82
113526,541776405,201906,2173553,0,2224285,317572,2497817,2019-990,1124017.6500000001,0.0,0.0,DANVILLE SCIENCE CENTER INC,VA,712110.0,A57
113569,592885199,201812,195523,5257,190286,292254,229964,2019-990,103483.8,2365.65,5257.0,MATHESON HISTORY MUSEUM INC,FL,712110.0,A54
113660,721249978,201812,68086,0,68086,175033,68086,2019-990,30638.7,0.0,0.0,OUACHITA AFRICAN-AMERICAN HISTORICAL SOCIETY,LA,712120.0,A82
113761,237013467,201812,1383142,36939,1442764,233910,1493139,2019-990,671912.55,16622.55,36939.0,NEWBURYPORT MARITIME SOCIETY INC,MA,712110.0,A54
113776,990308924,201812,1880939,0,2801465,1570668,6350194,2019-990,2857587.3000000003,0.0,0.0,HINDU HERITAGE ENDOWMENT,HI,712120.0,A80
113777,522170291,201812,1140939,1246015,2539346,3072769,2749579,2019-990,1237310.55,560706.75,1237310.55,HISTORIC SHIPS IN BALTIMORE INC,MD,712110.0,A50
113882,581715932,201812,106839,72155,256039,237834,256039,2019-990,115217.55,32469.75,72155.0,CHEROKEE COUNTY HISTORICAL SOCIETY INC,GA,712120.0,A82
113891,751528660,201812,18868,0,37619,24866,44927,2019-990,20217.15,0.0,0.0,OLD MOBEETIE TEXAS ASSOCIATION,TX,712120.0,A82
113896,340867828,201812,226262,20679,377413,186239,1001244,2019-990,450559.8,9305.550000000001,20679.0,ALLEN COUNTY HISTORICAL SOCIETY,OH,712120.0,A82
113980,470482255,201812,5092434,2188870,7876478,3525288,8462818,2019-990,3808268.1,984991.5,2188870.0,LINCOLN CHILDRENS ZOO,NE,712130.0,D50
113981,411375036,201812,211748,34217,260595,318532,263992,2019-990,118796.40000000001,15397.65,34217.0,ANOKA COUNTY HISTORICAL SOCIETY,MN,712120.0,A82
114009,351711808,201812,6482,0,40749,81099,130013,2019-990,58505.85,0.0,0.0,CARNEGIE HISTORIC LANDMARKS PRESERVATION SOCIETY INC,IN,712120.0,A82
114039,316078472,201812,130227,1289,142110,159713,142110,2019-990,63949.5,580.0500000000001,1289.0,CENTERVILLE-WASHINGTON HISTORY,OH,712120.0,A82
114133,460803504,201812,63626,97316,544838,380077,1485989,2019-990,668695.05,43792.200000000004,97316.0,WASHINGTON HERITAGE MUSEUMS,VA,712110.0,A50
114176,590689705,201906,1216086,311405,1702254,1870999,1865111,2019-990,839299.9500000001,140132.25,311405.0,MUSEUM OF CONTEMPORARY ART JACKSONVILLE INC,FL,712110.0,A51
114201,160979095,201812,73100,33504,178568,126537,324040,2019-990,145818.0,15076.800000000001,33504.0,COBBLESTONE SOCIETY,NY,712110.0,A54
114252,237054730,201812,1078048,704413,2005393,1345904,2370317,2019-990,1066642.6500000001,316985.85000000003,704413.0,DOOR COUNTY MARITIME MUSEUM & LIGHTHOUSE PRESERVATION SOCIETY IN,WI,712110.0,A50
114274,461383538,201812,513459,6000,519459,55796,519459,2019-990,233756.55000000002,2700.0,6000.0,LONGVIEW ARBORETUM AND NATURE CENTER,TX,712130.0,C41
114278,743066832,201812,0,203144,245787,227044,245787,2019-990,110604.15000000001,91414.8,110604.15000000001,MAIN STREET HIGHLAND PARK,NJ,712130.0,C40
114288,201359710,201812,73381377,1164637,237326713,48991950,411295307,2019-990,10000000.0,524086.65,1164637.0,CRYSTAL BRIDGES MUSEUM OF AMERICAN ART INC,AR,712110.0,A50
114294,954058743,201812,145244,58136,172946,243901,405491,2019-990,182470.95,26161.2,58136.0,C S LEWIS FOUNDATION,CA,712120.0,A80
114400,381312642,201812,163813,39609,626388,596082,1770845,2019-990,796880.25,17824.05,39609.0,MARQUETTE COUNTY HISTORICAL SOCIETY INC,MI,712120.0,A82
114530,752316240,201812,17618,13742,31607,58565,31607,2019-990,14223.15,6183.900000000001,13742.0,ONE HUNDRED ACRES OF HERITAGE INC,TX,712120.0,A80
114556,421632991,201812,88121,0,133441,176586,133441,2019-990,60048.450000000004,0.0,0.0,BRAZORIA HERITAGE FOUNDATION INC,TX,712120.0,A82
114598,911037866,201812,197086,26332,293052,306382,321758,2019-990,144791.1,11849.4,26332.0,BAINBRIDGE ISLAND HISTORICAL SOCIETY,WA,712120.0,A82
114631,742493011,201812,844107,106300,904079,854698,967672,2019-990,435452.4,47835.0,106300.0,THE INTERNATIONAL DARK-SKY ASSOCIATION INC,AZ,712120.0,A82
114638,481000295,201906,2866106,1170700,6067726,5670398,12326832,2019-990,5547074.4,526815.0,1170700.0,EXPLORATION PLACE INC,KS,712110.0,A57
114721,223396732,201812,15750,826216,841966,892323,841966,2019-990,378884.7,371797.2,378884.7,KIDCITY INC,CT,712110.0,A52
114801,431624519,201812,770401,299466,1427263,1362091,1745245,2019-990,785360.25,134759.7,299466.0,MISSOURI SPORTS HALL OF FAME,MO,712110.0,A50
114886,340813426,201906,1892795,405219,3788517,6015973,7344619,2019-990,3305078.5500000003,182348.55000000002,405219.0,AKRON ART MUSEUM,OH,712110.0,A51
114969,20301208,201812,81958,13717,104832,97008,108029,2019-990,48613.05,6172.650000000001,13717.0,NEW HAMPSHIRE FARM MUSEUM INC,NH,712110.0,A54
115129,480675823,201812,327345,5904,328785,172744,331485,2019-990,149168.25,2656.8,5904.0,FRANKLIN COUNTY HISTORICAL SOCIETY INC,KS,712120.0,A82
115142,751497022,201812,369602,0,381272,222314,397488,2019-990,178869.6,0.0,0.0,MUSEUM OF THE PLAINS,TX,712110.0,A50
115191,133583059,201812,273056,51459,485175,492888,533422,2019-990,240039.9,23156.55,51459.0,HOLOCAUST AND HUMAN RIGHTS EDUCATION CENTER,NY,712120.0,A80
115194,586039278,201906,320281,222817,559571,455092,559571,2019-990,251806.95,100267.65000000001,222817.0,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION,GA,712120.0,A80
115273,237088677,201812,245623,0,1077243,1233670,4450887,2019-990,2002899.1500000001,0.0,0.0,VERSAILLES FOUNDATION INC,NY,712120.0,A80
115301,581078324,201812,76018,0,85423,80748,85423,2019-990,38440.35,0.0,0.0,THE GRIFFIN -SPALDING HISTORICAL SOCIETY,GA,712120.0,A82
115332,742496903,201812,90397,16128,185910,136653,206160,2019-990,92772.0,7257.6,16128.0,OLD BLANCO COUNTY COURTHOUSE PRESERVATION SOCIETY,TX,712120.0,A82
115397,582285731,201812,330850,74640,405490,413538,405490,2019-990,182470.5,33588.0,74640.0,COMMUNITY MUSEUM SOCIETY INC,SC,712110.0,A50
115429,351788557,201812,35689,11456,52333,81948,52333,2019-990,23549.850000000002,5155.2,11456.0,PRESERVATION ALLIANCE INC,IN,712120.0,A80
115472,561673878,201812,14241,20314,56429,81786,57127,2019-990,25707.15,9141.300000000001,20314.0,YATES MILL ASSOCIATES INC,NC,712120.0,A82
115506,30183005,201812,335039,14736,735935,880442,2268815,2019-990,1020966.75,6631.2,14736.0,ST JOHNSBURY ATHENAEUM INC,VT,712110.0,A51
115518,382899689,201812,118953,423434,574989,526218,633106,2019-990,284897.7,190545.30000000002,284897.7,USS SILVERSIDES SUBMARINES MUSEUM,MI,712110.0,A54
115541,746060646,201812,24936,0,122015,120668,220006,2019-990,99002.7,0.0,0.0,AUSTIN AREA GARDEN CENTER INC,TX,712130.0,C40
115559,237087032,201812,51055,1890,53482,145276,53482,2019-990,24066.9,850.5,1890.0,BARRINGTON HISTORY MUSEUM,IL,712120.0,A82
115570,134178050,201812,68874,0,3598955,252719,13838429,2019-990,6227293.05,0.0,0.0,ITALIAN AMERICAN MUSEUM,NY,712110.0,A53
115625,581468825,201812,31640,17970,214530,140607,231647,2019-990,104241.15000000001,8086.5,17970.0,LOWNDES COUNTY HISTORICAL SOCIETY,GA,712120.0,A82
115639,237035407,201812,87716,0,144433,147729,285624,2019-990,128530.8,0.0,0.0,CHENANGO COUNTY HISTORICAL SOCIETY,NY,712120.0,A82
115651,432026706,201812,358141,705,358846,47589,358846,2019-990,161480.7,317.25,705.0,MILWAUKEE PRESERVATION ALLIANCE,WI,712120.0,A80
115693,540536105,201906,1348384,305599,1997940,3698002,2117421,2019-990,952839.4500000001,137519.55000000002,305599.0,ROBERT E LEE MEMORIAL ASSOCIATION,VA,712110.0,A54
115777,752392134,201812,329247,0,321580,378662,374177,2019-990,168379.65,0.0,0.0,THE DISCOVERY SCIENCE PLACE INC,TX,712110.0,A52
115784,560989729,201812,556832,0,579875,153757,579875,2019-990,260943.75,0.0,0.0,HISTORIC CARSON HOUSE,NC,712120.0,A80
115874,477322512,201812,232500,0,232500,249535,232500,2019-990,104625.0,0.0,0.0,LUMINARTZ,MA,712120.0,A80
115894,510161688,201906,22531,7098,65785,51796,106625,2019-990,47981.25,3194.1,7098.0,BELFAST MUSEUM INC,ME,712110.0,A54
115934,203443908,201812,400085,0,403409,264686,488054,2019-990,219624.30000000002,0.0,0.0,AMERICAN HUEY 369 INC,IN,712110.0,A54
115953,270253555,201812,12671,355024,398875,327958,398875,2019-990,179493.75,159760.80000000002,179493.75,SUNFLOWER ROD AND CUSTOM ASSOCIATION,KS,712120.0,A80
115972,480909077,201812,18461,1941,29784,48792,402671,2019-990,181201.95,873.45,1941.0,THE GREENWOOD COUNTY HISTORICAL SOCIETY INC,KS,712120.0,A82
116043,237066156,201812,102517,459622,589716,951604,729392,2019-990,328226.4,206829.9,328226.4,MINNESOTA TRANSPORTATION MUSEUM INC,MN,712110.0,A54
116048,237052120,201812,34193,15066,68394,74514,224997,2019-990,101248.65000000001,6779.7,15066.0,TRINITY COUNTY HISTORICAL SOCIETY,CA,712120.0,A82
116171,232517467,201812,8680,889,64095,74519,67670,2019-990,30451.5,400.05,889.0,SPRING GROVE AREA HISTORICAL PRESERVATION SOCIETY,PA,712120.0,A82
116172,274166652,201812,311332,324569,636422,584845,637540,2019-990,286893.0,146056.05000000002,286893.0,ST GEORGE CHILDRENS MUSEUM,UT,712110.0,A50
116201,731452965,201812,643739,335018,967482,811935,1136685,2019-990,511508.25,150758.1,335018.0,TULSA AIR AND SPACE MUSEUM INC,OK,712110.0,A57
116210,800061139,201812,112742,434083,3207461,789119,3207461,2019-990,1443357.45,195337.35,434083.0,HEURICH HOUSE FOUNDATION,DC,712110.0,A54
116229,710885722,201812,14501,0,5710,55977,34773,2019-990,15647.85,0.0,0.0,GREENWOOD PRESERVATION SOCIETY,KS,712120.0,A82
116238,541637667,201812,70192,40924,117306,138312,120248,2019-990,54111.6,18415.8,40924.0,VIRGINIA QUILT MUSEUM INC,VA,712110.0,A51
116262,160954168,201812,9249665,6387837,16809440,16319001,18254778,2019-990,8214650.100000001,2874526.65,6387837.0,MARGARET WOODBURY STRONG MUSEUM,NY,712110.0,A50
116303,410711612,201812,40391,15562649,15617068,15998921,15617068,2019-990,7027680.600000001,7003192.05,7027680.600000001,PIONEER HOME INCORPORATED,MN,712120.0,A80
116306,540525507,201812,1113519,212217,1640071,2260805,1651119,2019-990,743003.55,95497.65000000001,212217.0,THE GEORGE WASHINGTON FOUNDATION,VA,712120.0,A80
116307,43285979,201812,119990,188682,399140,399122,466718,2019-990,210023.1,84906.90000000001,188682.0,FRIENDS OF THE PARAGON CAROUSEL INC,MA,712120.0,A82
116309,541828344,201812,203195,0,206495,178443,206495,2019-990,92922.75,0.0,0.0,CENTRAL VIRGINIA BATTLEFIELDS TRUST INC,VA,712120.0,A80
116310,510163093,201906,140499,0,173677,158457,202463,2019-990,91108.35,0.0,0.0,ALAMANCE COUNTY HISTORICAL MUSEUM INC,NC,712110.0,A54
116336,521922097,201812,554944,0,591187,605477,778835,2019-990,350475.75,0.0,0.0,THE DEA EDUCATIONAL FOUNDATION,DC,712110.0,A50
116340,911997797,201812,213551,6500,220051,171233,220051,2019-990,99022.95,2925.0,6500.0,LASTING LEGACY WILDLIFE MUSEUM,WA,712110.0,A50
116343,481007736,201812,1396402,1608683,3225603,2926526,7805785,2019-990,3512603.25,723907.35,1608683.0,BOTANICA INC,KS,712130.0,C41
116408,461479450,201812,17576116,11537030,30877588,17079483,32710834,2019-990,10000000.0,5191663.5,10000000.0,INTERNATIONAL SPY MUSEUM,DC,712110.0,A50
116417,476029817,201812,78029,0,90456,134368,92324,2019-990,41545.8,0.0,0.0,DAWSON COUNTY HISTORICAL SOCIETY,NE,712120.0,A82
116423,311106313,201812,204001,81024,282516,253264,283772,2019-990,127697.40000000001,36460.8,81024.0,HISTORIC SOUTHWEST OHIO INC,OH,712110.0,A54
116498,226799567,201812,1842050,881575,13232639,15635144,33784400,2019-990,10000000.0,396708.75,881575.0,SHELLEY & DONALD RUBIN CULTURAL TRU UA05111999 RUBIN MUSEUM OF ART,NY,712110.0,A50
116524,222502977,201812,16436,0,28384,70220,36341,2019-990,16353.45,0.0,0.0,KENILWORTH HISTORICAL SOCIETY INCORPORATED,NJ,712120.0,A82
116526,860535133,201812,97479,0,152132,56798,353663,2019-990,159148.35,0.0,0.0,ARIZONA NURSERY ASSOCIATION FOUNDATION,AZ,712130.0,C40
116537,202082552,201812,0,236722,236722,244252,236722,2019-990,106524.90000000001,106524.90000000001,106524.90000000001,AMERICAN SOKOL ORGANIZATION-SOKOL FORT WORTH,TX,712120.0,A80
116598,581813743,201812,165680,11127,207037,222925,245701,2019-990,110565.45,5007.150000000001,11127.0,HAMMONDS HOUSE GALLERIES INC,GA,712110.0,A53
116680,46186884,201812,2220,3364,10362,12692,18773,2019-990,8447.85,1513.8,3364.0,MARSHFIELD HISTORICAL SOCIETY INCORPORATED,MA,712120.0,A82
116703,770420446,201812,282985,0,472042,278075,922557,2019-990,415150.65,0.0,0.0,CALIFORNIA LIVING MUSEUM FOUNDATION,CA,712110.0,A50
116723,30589599,201812,83572,0,85491,76892,131205,2019-990,59042.25,0.0,0.0,FRIENDS OF HAPPY RETREAT INC,WV,712120.0,A80
116752,850437114,201812,1785982,2593759,36765666,9460427,63415026,2019-990,10000000.0,1167191.55,2593759.0,GEORGIA OKEEFFE MUSEUM,NM,712110.0,A51
116838,310969645,201812,469010,2880,744567,647450,808871,2019-990,363991.95,1296.0,2880.0,GERMAN VILLAGE SOCIETY,OH,712120.0,A82
116852,593270780,201812,178449,0,181543,53209,201633,2019-990,90734.85,0.0,0.0,AIR COMMANDO FOUNDATION INC,FL,712110.0,A50
116907,421123674,201812,334351,65814,552420,324145,580188,2019-990,261084.6,29616.3,65814.0,CEDAR FALLS IOWA HISTORICAL SOCIETY,IA,712120.0,A82
116991,46113324,201812,24877,0,97301,198572,343168,2019-990,154425.6,0.0,0.0,1717 MEETINGHOUSE FOUNDATION INC,MA,712120.0,A80
117006,161551806,201812,52676,0,50895,22346,52717,2019-990,23722.65,0.0,0.0,JOHN W JONES MUSEUM,NY,712110.0,A54
117035,560629334,201812,522699,62393,625121,595956,647670,2019-990,291451.5,28076.850000000002,62393.0,NATIONAL SOCIETY OF THE COLONIAL DAMES OF AMER IN THE STATE OF NC,NC,712120.0,A80
117056,610444690,201812,1409041,91443,2939150,2729121,8200648,2019-990,3690291.6,41149.35,91443.0,THE FILSON HISTORICAL SOCIETY INC,KY,712120.0,A82
117061,237108082,201812,454931,26785,481716,43297,481716,2019-990,216772.2,12053.25,26785.0,CHIPPEWA COUNTY HISTORICAL SOCIETY INC,WI,712120.0,A82
117143,942506626,201812,672144,66872,975888,983237,1224558,2019-990,551051.1,30092.4,66872.0,MUSEUM OF SONOMA COUNTY,CA,712110.0,A54
117147,510147436,201812,234999,0,253119,192261,253797,2019-990,114208.65000000001,0.0,0.0,SHORELINE HISTORICAL MUSEUM,WA,712110.0,A54
117151,943152163,201812,396900,1847,479753,179681,541966,2019-990,243884.7,831.15,1847.0,EARLY FORD V-8 FOUNDATION,IN,712120.0,A80
