,100_of_Earned_upto_45_Gross_max_10m,45_of_Earned_max_10m,45_of_Gross_max_10m,EIN,Number of employees,Source,contributed_rev,earned_program_service_rev,gross_rev,tax_pd,total_exp,total_rev,NAME,STATE,NAICS,NTEEFINAL
114039,1289.0,580.0500000000001,63949.5,316078472,5,2019-990,130227,1289,142110,201812,159713,142110,CENTERVILLE-WASHINGTON HISTORY,OH,712120.0,A82
114133,97316.0,43792.200000000004,668695.05,460803504,50,2019-990,63626,97316,1485989,201812,380077,544838,WASHINGTON HERITAGE MUSEUMS,VA,712110.0,A50
114176,311405.0,140132.25,839299.9500000001,590689705,64,2019-990,1216086,311405,1865111,201906,1870999,1702254,MUSEUM OF CONTEMPORARY ART JACKSONVILLE INC,FL,712110.0,A51
114201,33504.0,15076.800000000001,145818.0,160979095,5,2019-990,73100,33504,324040,201812,126537,178568,COBBLESTONE SOCIETY,NY,712110.0,A54
114252,704413.0,316985.85000000003,1066642.6500000001,237054730,37,2019-990,1078048,704413,2370317,201812,1345904,2005393,DOOR COUNTY MARITIME MUSEUM & LIGHTHOUSE PRESERVATION SOCIETY IN,WI,712110.0,A50
114274,6000.0,2700.0,233756.55000000002,461383538,0,2019-990,513459,6000,519459,201812,55796,519459,LONGVIEW ARBORETUM AND NATURE CENTER,TX,712130.0,C41
114278,110604.15000000001,91414.8,110604.15000000001,743066832,4,2019-990,0,203144,245787,201812,227044,245787,MAIN STREET HIGHLAND PARK,NJ,712130.0,C40
114288,1164637.0,524086.65,10000000.0,201359710,413,2019-990,73381377,1164637,411295307,201812,48991950,237326713,CRYSTAL BRIDGES MUSEUM OF AMERICAN ART INC,AR,712110.0,A50
114294,58136.0,26161.2,182470.95,954058743,6,2019-990,145244,58136,405491,201812,243901,172946,C S LEWIS FOUNDATION,CA,712120.0,A80
114400,39609.0,17824.05,796880.25,381312642,13,2019-990,163813,39609,1770845,201812,596082,626388,MARQUETTE COUNTY HISTORICAL SOCIETY INC,MI,712120.0,A82
114530,13742.0,6183.900000000001,14223.15,752316240,0,2019-990,17618,13742,31607,201812,58565,31607,ONE HUNDRED ACRES OF HERITAGE INC,TX,712120.0,A80
114556,0.0,0.0,60048.450000000004,421632991,0,2019-990,88121,0,133441,201812,176586,133441,BRAZORIA HERITAGE FOUNDATION INC,TX,712120.0,A82
114598,26332.0,11849.4,144791.1,911037866,7,2019-990,197086,26332,321758,201812,306382,293052,BAINBRIDGE ISLAND HISTORICAL SOCIETY,WA,712120.0,A82
114631,106300.0,47835.0,435452.4,742493011,10,2019-990,844107,106300,967672,201812,854698,904079,THE INTERNATIONAL DARK-SKY ASSOCIATION INC,AZ,712120.0,A82
114638,1170700.0,526815.0,5547074.4,481000295,104,2019-990,2866106,1170700,12326832,201906,5670398,6067726,EXPLORATION PLACE INC,KS,712110.0,A57
114721,378884.7,371797.2,378884.7,223396732,38,2019-990,15750,826216,841966,201812,892323,841966,KIDCITY INC,CT,712110.0,A52
114801,299466.0,134759.7,785360.25,431624519,11,2019-990,770401,299466,1745245,201812,1362091,1427263,MISSOURI SPORTS HALL OF FAME,MO,712110.0,A50
114886,405219.0,182348.55000000002,3305078.5500000003,340813426,115,2019-990,1892795,405219,7344619,201906,6015973,3788517,AKRON ART MUSEUM,OH,712110.0,A51
114969,13717.0,6172.650000000001,48613.05,20301208,5,2019-990,81958,13717,108029,201812,97008,104832,NEW HAMPSHIRE FARM MUSEUM INC,NH,712110.0,A54
115129,5904.0,2656.8,149168.25,480675823,12,2019-990,327345,5904,331485,201812,172744,328785,FRANKLIN COUNTY HISTORICAL SOCIETY INC,KS,712120.0,A82
115142,0.0,0.0,178869.6,751497022,6,2019-990,369602,0,397488,201812,222314,381272,MUSEUM OF THE PLAINS,TX,712110.0,A50
115191,51459.0,23156.55,240039.9,133583059,8,2019-990,273056,51459,533422,201812,492888,485175,HOLOCAUST AND HUMAN RIGHTS EDUCATION CENTER,NY,712120.0,A80
115194,222817.0,100267.65000000001,251806.95,586039278,0,2019-990,320281,222817,559571,201906,455092,559571,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION,GA,712120.0,A80
115273,0.0,0.0,2002899.1500000001,237088677,3,2019-990,245623,0,4450887,201812,1233670,1077243,VERSAILLES FOUNDATION INC,NY,712120.0,A80
115301,0.0,0.0,38440.35,581078324,0,2019-990,76018,0,85423,201812,80748,85423,THE GRIFFIN -SPALDING HISTORICAL SOCIETY,GA,712120.0,A82
115332,16128.0,7257.6,92772.0,742496903,1,2019-990,90397,16128,206160,201812,136653,185910,OLD BLANCO COUNTY COURTHOUSE PRESERVATION SOCIETY,TX,712120.0,A82
115397,74640.0,33588.0,182470.5,582285731,2,2019-990,330850,74640,405490,201812,413538,405490,COMMUNITY MUSEUM SOCIETY INC,SC,712110.0,A50
115429,11456.0,5155.2,23549.850000000002,351788557,1,2019-990,35689,11456,52333,201812,81948,52333,PRESERVATION ALLIANCE INC,IN,712120.0,A80
115472,20314.0,9141.300000000001,25707.15,561673878,0,2019-990,14241,20314,57127,201812,81786,56429,YATES MILL ASSOCIATES INC,NC,712120.0,A82
115506,14736.0,6631.2,1020966.75,30183005,15,2019-990,335039,14736,2268815,201812,880442,735935,ST JOHNSBURY ATHENAEUM INC,VT,712110.0,A51
115518,284897.7,190545.30000000002,284897.7,382899689,8,2019-990,118953,423434,633106,201812,526218,574989,USS SILVERSIDES SUBMARINES MUSEUM,MI,712110.0,A54
115541,0.0,0.0,99002.7,746060646,0,2019-990,24936,0,220006,201812,120668,122015,AUSTIN AREA GARDEN CENTER INC,TX,712130.0,C40
115559,1890.0,850.5,24066.9,237087032,0,2019-990,51055,1890,53482,201812,145276,53482,BARRINGTON HISTORY MUSEUM,IL,712120.0,A82
115570,0.0,0.0,6227293.05,134178050,3,2019-990,68874,0,13838429,201812,252719,3598955,ITALIAN AMERICAN MUSEUM,NY,712110.0,A53
115625,17970.0,8086.5,104241.15000000001,581468825,6,2019-990,31640,17970,231647,201812,140607,214530,LOWNDES COUNTY HISTORICAL SOCIETY,GA,712120.0,A82
115639,0.0,0.0,128530.8,237035407,3,2019-990,87716,0,285624,201812,147729,144433,CHENANGO COUNTY HISTORICAL SOCIETY,NY,712120.0,A82
115651,705.0,317.25,161480.7,432026706,0,2019-990,358141,705,358846,201812,47589,358846,MILWAUKEE PRESERVATION ALLIANCE,WI,712120.0,A80
115693,305599.0,137519.55000000002,952839.4500000001,540536105,70,2019-990,1348384,305599,2117421,201906,3698002,1997940,ROBERT E LEE MEMORIAL ASSOCIATION,VA,712110.0,A54
115777,0.0,0.0,168379.65,752392134,5,2019-990,329247,0,374177,201812,378662,321580,THE DISCOVERY SCIENCE PLACE INC,TX,712110.0,A52
115784,0.0,0.0,260943.75,560989729,3,2019-990,556832,0,579875,201812,153757,579875,HISTORIC CARSON HOUSE,NC,712120.0,A80
115874,0.0,0.0,104625.0,477322512,0,2019-990,232500,0,232500,201812,249535,232500,LUMINARTZ,MA,712120.0,A80
115894,7098.0,3194.1,47981.25,510161688,0,2019-990,22531,7098,106625,201906,51796,65785,BELFAST MUSEUM INC,ME,712110.0,A54
115934,0.0,0.0,219624.30000000002,203443908,3,2019-990,400085,0,488054,201812,264686,403409,AMERICAN HUEY 369 INC,IN,712110.0,A54
115953,179493.75,159760.80000000002,179493.75,270253555,0,2019-990,12671,355024,398875,201812,327958,398875,SUNFLOWER ROD AND CUSTOM ASSOCIATION,KS,712120.0,A80
115972,1941.0,873.45,181201.95,480909077,3,2019-990,18461,1941,402671,201812,48792,29784,THE GREENWOOD COUNTY HISTORICAL SOCIETY INC,KS,712120.0,A82
116043,328226.4,206829.9,328226.4,237066156,8,2019-990,102517,459622,729392,201812,951604,589716,MINNESOTA TRANSPORTATION MUSEUM INC,MN,712110.0,A54
116048,15066.0,6779.7,101248.65000000001,237052120,0,2019-990,34193,15066,224997,201812,74514,68394,TRINITY COUNTY HISTORICAL SOCIETY,CA,712120.0,A82
116171,889.0,400.05,30451.5,232517467,1,2019-990,8680,889,67670,201812,74519,64095,SPRING GROVE AREA HISTORICAL PRESERVATION SOCIETY,PA,712120.0,A82
116172,286893.0,146056.05000000002,286893.0,274166652,27,2019-990,311332,324569,637540,201812,584845,636422,ST GEORGE CHILDRENS MUSEUM,UT,712110.0,A50
116201,335018.0,150758.1,511508.25,731452965,41,2019-990,643739,335018,1136685,201812,811935,967482,TULSA AIR AND SPACE MUSEUM INC,OK,712110.0,A57
116210,434083.0,195337.35,1443357.45,800061139,37,2019-990,112742,434083,3207461,201812,789119,3207461,HEURICH HOUSE FOUNDATION,DC,712110.0,A54
116229,0.0,0.0,15647.85,710885722,0,2019-990,14501,0,34773,201812,55977,5710,GREENWOOD PRESERVATION SOCIETY,KS,712120.0,A82
116238,40924.0,18415.8,54111.6,541637667,6,2019-990,70192,40924,120248,201812,138312,117306,VIRGINIA QUILT MUSEUM INC,VA,712110.0,A51
116262,6387837.0,2874526.65,8214650.100000001,160954168,318,2019-990,9249665,6387837,18254778,201812,16319001,16809440,MARGARET WOODBURY STRONG MUSEUM,NY,712110.0,A50
116303,7027680.600000001,7003192.05,7027680.600000001,410711612,416,2019-990,40391,15562649,15617068,201812,15998921,15617068,PIONEER HOME INCORPORATED,MN,712120.0,A80
116306,212217.0,95497.65000000001,743003.55,540525507,87,2019-990,1113519,212217,1651119,201812,2260805,1640071,THE GEORGE WASHINGTON FOUNDATION,VA,712120.0,A80
116307,188682.0,84906.90000000001,210023.1,43285979,30,2019-990,119990,188682,466718,201812,399122,399140,FRIENDS OF THE PARAGON CAROUSEL INC,MA,712120.0,A82
116309,0.0,0.0,92922.75,541828344,2,2019-990,203195,0,206495,201812,178443,206495,CENTRAL VIRGINIA BATTLEFIELDS TRUST INC,VA,712120.0,A80
116310,0.0,0.0,91108.35,510163093,4,2019-990,140499,0,202463,201906,158457,173677,ALAMANCE COUNTY HISTORICAL MUSEUM INC,NC,712110.0,A54
116336,0.0,0.0,350475.75,521922097,0,2019-990,554944,0,778835,201812,605477,591187,THE DEA EDUCATIONAL FOUNDATION,DC,712110.0,A50
116340,6500.0,2925.0,99022.95,911997797,0,2019-990,213551,6500,220051,201812,171233,220051,LASTING LEGACY WILDLIFE MUSEUM,WA,712110.0,A50
116343,1608683.0,723907.35,3512603.25,481007736,0,2019-990,1396402,1608683,7805785,201812,2926526,3225603,BOTANICA INC,KS,712130.0,C41
116408,10000000.0,5191663.5,10000000.0,461479450,196,2019-990,17576116,11537030,32710834,201812,17079483,30877588,INTERNATIONAL SPY MUSEUM,DC,712110.0,A50
116417,0.0,0.0,41545.8,476029817,3,2019-990,78029,0,92324,201812,134368,90456,DAWSON COUNTY HISTORICAL SOCIETY,NE,712120.0,A82
116423,81024.0,36460.8,127697.40000000001,311106313,8,2019-990,204001,81024,283772,201812,253264,282516,HISTORIC SOUTHWEST OHIO INC,OH,712110.0,A54
116498,881575.0,396708.75,10000000.0,226799567,100,2019-990,1842050,881575,33784400,201812,15635144,13232639,SHELLEY & DONALD RUBIN CULTURAL TRU UA05111999 RUBIN MUSEUM OF ART,NY,712110.0,A50
116524,0.0,0.0,16353.45,222502977,0,2019-990,16436,0,36341,201812,70220,28384,KENILWORTH HISTORICAL SOCIETY INCORPORATED,NJ,712120.0,A82
116526,0.0,0.0,159148.35,860535133,0,2019-990,97479,0,353663,201812,56798,152132,ARIZONA NURSERY ASSOCIATION FOUNDATION,AZ,712130.0,C40
116537,106524.90000000001,106524.90000000001,106524.90000000001,202082552,16,2019-990,0,236722,236722,201812,244252,236722,AMERICAN SOKOL ORGANIZATION-SOKOL FORT WORTH,TX,712120.0,A80
116598,11127.0,5007.150000000001,110565.45,581813743,3,2019-990,165680,11127,245701,201812,222925,207037,HAMMONDS HOUSE GALLERIES INC,GA,712110.0,A53
116680,3364.0,1513.8,8447.85,46186884,0,2019-990,2220,3364,18773,201812,12692,10362,MARSHFIELD HISTORICAL SOCIETY INCORPORATED,MA,712120.0,A82
116703,0.0,0.0,415150.65,770420446,0,2019-990,282985,0,922557,201812,278075,472042,CALIFORNIA LIVING MUSEUM FOUNDATION,CA,712110.0,A50
116723,0.0,0.0,59042.25,30589599,0,2019-990,83572,0,131205,201812,76892,85491,FRIENDS OF HAPPY RETREAT INC,WV,712120.0,A80
116752,2593759.0,1167191.55,10000000.0,850437114,126,2019-990,1785982,2593759,63415026,201812,9460427,36765666,GEORGIA OKEEFFE MUSEUM,NM,712110.0,A51
116838,2880.0,1296.0,363991.95,310969645,7,2019-990,469010,2880,808871,201812,647450,744567,GERMAN VILLAGE SOCIETY,OH,712120.0,A82
116852,0.0,0.0,90734.85,593270780,0,2019-990,178449,0,201633,201812,53209,181543,AIR COMMANDO FOUNDATION INC,FL,712110.0,A50
116907,65814.0,29616.3,261084.6,421123674,4,2019-990,334351,65814,580188,201812,324145,552420,CEDAR FALLS IOWA HISTORICAL SOCIETY,IA,712120.0,A82
116991,0.0,0.0,154425.6,46113324,0,2019-990,24877,0,343168,201812,198572,97301,1717 MEETINGHOUSE FOUNDATION INC,MA,712120.0,A80
117006,0.0,0.0,23722.65,161551806,0,2019-990,52676,0,52717,201812,22346,50895,JOHN W JONES MUSEUM,NY,712110.0,A54
117035,62393.0,28076.850000000002,291451.5,560629334,15,2019-990,522699,62393,647670,201812,595956,625121,NATIONAL SOCIETY OF THE COLONIAL DAMES OF AMER IN THE STATE OF NC,NC,712120.0,A80
117056,91443.0,41149.35,3690291.6,610444690,28,2019-990,1409041,91443,8200648,201812,2729121,2939150,THE FILSON HISTORICAL SOCIETY INC,KY,712120.0,A82
117061,26785.0,12053.25,216772.2,237108082,0,2019-990,454931,26785,481716,201812,43297,481716,CHIPPEWA COUNTY HISTORICAL SOCIETY INC,WI,712120.0,A82
117143,66872.0,30092.4,551051.1,942506626,15,2019-990,672144,66872,1224558,201812,983237,975888,MUSEUM OF SONOMA COUNTY,CA,712110.0,A54
117147,0.0,0.0,114208.65000000001,510147436,1,2019-990,234999,0,253797,201812,192261,253119,SHORELINE HISTORICAL MUSEUM,WA,712110.0,A54
117151,1847.0,831.15,243884.7,943152163,2,2019-990,396900,1847,541966,201812,179681,479753,EARLY FORD V-8 FOUNDATION,IN,712120.0,A80
117329,0.0,0.0,1117709.55,591992826,6,2019-990,2483799,0,2483799,201812,1835673,2483799,HOLOCAUST DOCUMENTATION & EDUCATION CENTER INC,FL,712120.0,A80
117349,1090917.0,490912.65,5804280.9,133570145,24,2019-990,1996145,1090917,12898402,201812,3893140,7000664,GARDEN CONSERVANCY INC,NY,712130.0,C40
117351,0.0,0.0,22086.45,461470791,0,2019-990,48775,0,49081,201812,35646,49081,WAVERLEY HISTORIC FOUNDATION,OR,712120.0,A82
117411,9747560.0,4386402.0,10000000.0,540505959,446,2019-990,6453563,9747560,81167220,201812,33097076,23076134,THOMAS JEFFERSON FOUNDATION INC,VA,712110.0,A54
117463,0.0,0.0,67556.25,237027191,5,2019-990,88311,0,150125,201812,258681,140929,FRANKLIN COUNTY HISTORICAL SOCIETY,WA,712120.0,A82
117486,0.0,0.0,182911.5,461279018,0,2019-990,406470,0,406470,201812,384446,406470,LATIN SONGWRITERS HALL OF FAME INC,FL,712110.0,A50
117568,376011.0,169204.95,419354.55,760011483,14,2019-990,153476,376011,931899,201812,1030670,835387,CENTER FOR TRANSPORTATION & COMMERCE,TX,712110.0,A50
117642,0.0,0.0,16431.3,592015681,0,2019-990,2,0,36514,201812,22874,10111,FLORIDA GOVERNORS MANSION FOUNDATION INC,FL,712120.0,A82
117664,7403.85,4422.150000000001,7403.85,251574970,1,2019-990,6582,9827,16453,201812,46322,16453,ALLEGHENY HISTORIC PRESERVATION SOCIETY INC,PA,712120.0,A82
117665,193837.5,105900.75,193837.5,273853278,2,2019-990,195415,235335,430750,201906,498202,430750,ASSOCIATION OF TRIBAL ARCHIVES LIBRARIES AND MUSEUMS,OK,712110.0,A50
117682,0.0,0.0,161259.30000000002,581274644,0,2019-990,303712,0,358354,201812,174441,358354,JASPER COUNTY HISTORICAL FOUNDATION INC,GA,712120.0,A80
117716,137102.4,86533.2,137102.4,630862043,0,2019-990,107641,192296,304672,201812,400803,304672,MONTGOMERY AREA CHAMBER OF COMMERCE FOUNDATION INC,AL,712120.0,A82
117732,0.0,0.0,8997.300000000001,680435495,0,2019-990,1446,0,19994,201812,699,19994,URBAN PRESERVATION FOUNDATION,CA,712120.0,A82
117808,0.0,0.0,39214.35,246020611,1,2019-990,14778,0,87143,201812,59396,35920,TIOGA HISTORICAL SOCIETY,PA,712120.0,A82
117816,127547.0,57396.15,606570.75,270599147,24,2019-990,974108,127547,1347935,201812,1195262,1210501,THOMAS COLE HISTORIC HOUSE,NY,712120.0,A82
117820,13132.0,5909.400000000001,13961.7,232120118,7,2019-990,21484,13132,31026,201812,64138,31026,FRENCH AZILUM INC,PA,712120.0,A82
117850,0.0,0.0,24443.100000000002,222481700,1,2019-990,11758,0,54318,201812,26140,35389,FULTON COUNTY HISTORICAL SOCIETY,NY,712120.0,A82
117982,0.0,0.0,479467.35000000003,274705213,0,2019-990,1065483,0,1065483,201812,347406,1065483,BENTONVILLE PARKS CONSERVANCY INC,AR,712130.0,C41
118072,3483.0,1567.3500000000001,71017.2,900507764,5,2019-990,54071,3483,157816,201812,46781,-442184,USS ORLECK NAVAL MUSEUM INC,LA,712110.0,A50
118128,1334371.0,600466.9500000001,1612527.3,341360267,49,2019-990,1828265,1334371,3583394,201812,2753737,3451561,THE CHILDRENS MUSEUM OF CLEVELAND,OH,712110.0,A52
118171,54481.0,24516.45,73795.05,850162279,8,2019-990,52047,54481,163989,201812,157303,133710,TAOS HISTORIC MUSEUMS INC,NM,712110.0,A54
118230,389622.0,175329.9,1231609.5,341636766,17,2019-990,2108176,389622,2736910,201812,2376991,2639882,OHIO & ERIE CANALWAY COALITION,OH,712120.0,A82
118232,225418.95,225357.75,225418.95,201550347,14,2019-990,0,500795,500931,201812,435288,500931,RALSTON WHITE RETREAT FOUNDATION,CA,712120.0,A80
118235,842664.0,379198.8,3995181.0,166068418,27,2019-990,109692,842664,8878180,201812,1626694,8873434,CENTRAL NEW YORK COMMUNITY ARTS COUNCIL INC,NY,712120.0,A80
118249,0.0,0.0,24912.45,510226224,0,2019-990,28686,0,55361,201812,39246,39194,THE DELAWARE SPORTS MUSEUM AND HALL OF FAME ASSOCIATION INC,DE,712110.0,A50
118281,104301.45,104277.6,104301.45,10384282,0,2019-990,0,231728,231781,201812,190882,231781,ASSOCIATION OF TOURIST RAILROADS AND RAILWAY MUSEUMS INC,GA,712110.0,A50
118329,112434.0,50595.3,143565.30000000002,462381743,0,2019-990,206600,112434,319034,201812,309784,319034,SOUTH CAROLINA FOOTBALL HALL OF FAME INC,SC,712110.0,A50
118342,1955648.0,880041.6,2827847.7,262726861,181,2019-990,3403091,1955648,6284106,201812,5573244,5870646,DISCOVERY PARK OF AMERICA INC,TN,712110.0,A50
118345,0.0,0.0,3495996.9,521467787,3,2019-990,3914973,0,7768882,201812,3034804,4009716,FOUNDATION FOR ART AND PRESERVATION IN EMBASSIES,DC,712120.0,A80
118365,42222.0,18999.9,72191.25,550698886,0,2019-990,105164,42222,160425,201906,150358,160425,OIL GAS AND INDUSTRIAL HISTORICAL ASSOCIATION INC,WV,712110.0,A54
118370,26706.0,12017.7,294307.2,411967683,7,2019-990,584445,26706,654016,201812,438980,644432,MINNESOTA LAKES MARITIME SOCIETY,MN,712110.0,A54
118381,46059.0,20726.55,60510.6,480878762,1,2019-990,28566,46059,134468,201812,102122,114122,COMBAT AIR MUSEUM INC,KS,712110.0,A54
118395,0.0,0.0,43548.75,237009379,0,2019-990,4135,0,96775,201812,13023,96422,SOLON HISTORICAL SOCIETY,OH,712120.0,A82
118409,115449.75,64069.65,115449.75,371387704,30,2019-990,100592,142377,256555,201906,250259,251452,EDWARDSVILLE CHILDRENS MUSEUM INC,IL,712110.0,A50
118411,0.0,0.0,104331.6,753054096,0,2019-990,143499,0,231848,201812,60617,148548,FRIENDS OF GREYSTONE,CA,712120.0,A80
118439,24695.0,11112.75,1470197.7,271280023,35,2019-990,3032832,24695,3267106,201812,3175610,3138332,WORLD CHESS MUSEUM INC,MO,712110.0,A50
118668,8929.0,4018.05,52012.35,351684705,0,2019-990,106480,8929,115583,201812,114790,115583,FIREFIGHTERS MUSEUM AND SURVIVE ALIVE INC,IN,712110.0,A50
118708,0.0,0.0,32172.3,830292100,6,2019-990,61746,0,71494,201906,132931,70096,GREEN RIVER VALLEY MUSEUM INC,WY,712110.0,A54
118717,24905.0,11207.25,77969.25,237253589,3,2019-990,131125,24905,173265,201812,130018,138958,FRONTIER TIMES MUSEUM,TX,712110.0,A54
118752,0.0,0.0,138475.35,363559965,4,2019-990,307264,0,307723,201812,325972,307723,MONTANA PRESERVATION ALLIANCE INC,MT,712120.0,A82
118774,0.0,0.0,108316.8,581357015,2,2019-990,10540,0,240704,201812,162020,36588,JOHN F KENNEDY SPECIAL WARFARE MEMORIAL AND MUSEUM ASSOCIATION,NC,712110.0,A50
118895,0.0,0.0,17489.7,237363520,2,2019-990,37866,0,38866,201812,73220,38225,HISTROIC CABARRUS ASSOCIATION INC,NC,712120.0,A82
118910,3506.0,1577.7,344613.15,10499730,8,2019-990,566386,3506,765807,201812,548546,639674,AMERICAN LIGHTHOUSE FOUNDATION,ME,712120.0,A80
118933,198920.0,89514.0,2712441.6,10859843,3,2019-990,5650719,198920,6027648,201812,722412,5995638,NATIONAL MUSEUM OF WORLD WAR II AVIATION INC,CO,712110.0,A50
118941,11197.0,5038.650000000001,381726.9,46168175,4,2019-990,331898,11197,848282,201812,333117,401594,ORLEANS HISTORICAL SOCIETY,MA,712120.0,A82
118951,99401.0,44730.450000000004,244901.25,46060657,11,2019-990,250057,99401,544225,201812,355433,436945,NEWBURYPORT ART ASSOCIATION INC,MA,712110.0,A51
118971,163179.0,73430.55,719174.7000000001,391256631,47,2019-990,101690,163179,1598166,201812,411118,381624,CAMP FIVE MUSEUM FOUNDATION INC,WI,712110.0,A50
118973,56877.3,28824.75,56877.3,741948585,0,2019-990,53667,64055,126394,201812,167078,126214,COLUMBUS HISTORICAL PRESERVATION TRUST,TX,712120.0,A82
118995,0.0,0.0,26658.45,330181169,0,2019-990,34325,0,59241,201812,7720,8311,INTERNATIONAL GYMNAST HALL OF FAME,OK,712110.0,A50
119036,0.0,0.0,196078.95,751835224,0,2019-990,6168,0,435731,201812,20786,18949,HALE COUNTY FARM & RANCH HISTORICAL MUSEUM,TX,712110.0,A54
119038,71637.0,32236.65,330659.10000000003,742603242,18,2019-990,429852,71637,734798,201812,640465,504620,TEXAS MUSEUMS & HALLS OF FAME,TX,712110.0,A50
119079,833811.0,375214.95,1053686.25,260391615,16,2019-990,1355428,833811,2341525,201812,985157,2258963,MONTEREY ZOOLOGICAL SOCIETY,CA,712130.0,D50
119106,19086.0,8588.7,212566.05000000002,416048581,9,2019-990,308335,19086,472369,201812,547129,448027,STEELE COUNTY HISTORICAL SOCIETY,MN,712120.0,A82
119122,19153.0,8618.85,88673.40000000001,351410812,0,2019-990,81835,19153,197052,201812,99584,135785,JOHNSON COUNTY HISTORICAL SOCIETY INC,IN,712120.0,A82
119170,603306.9,369949.05,603306.9,150479650,0,2019-990,0,822109,1340682,201812,792805,1176609,VESTAL HILLS MEMORIAL PARK ASSOCIATION INC,NY,712120.0,A80
119171,783873.0,352742.85000000003,1887690.6,221228450,0,2019-990,0,783873,4194868,201812,1418926,2317486,RESTLAND MEMORIAL PARK ASSN,PA,712120.0,A80
119247,110752.0,49838.4,366660.9,396102653,7,2019-990,571084,110752,814802,201812,555002,782573,TWO RIVERS HISTORICAL SOCIETY,WI,712120.0,A82
119248,26767.0,12045.15,216190.35,751338387,63,2019-990,144784,26767,480423,201812,249509,196506,TEXARKANA HISTORICAL SOCIETY AND MUSEUM,TX,712120.0,A82
119252,9060.0,4077.0,39226.05,56017148,0,2019-990,46013,9060,87169,201812,69803,86984,JAMESTOWN HISTORICAL SOCIETY,RI,712120.0,A82
119265,0.0,0.0,635397.75,475518278,4,2019-990,1412295,0,1411995,201812,591805,1411995,CLIMATE MUSEUM,NY,712110.0,A50
119447,0.0,0.0,148471.2,300145865,0,2019-990,29000,0,329936,201812,69050,137273,CASTLE ROCK MERCHANTS ASSOCIATION,CO,712120.0,A80
119454,0.0,0.0,118689.75,237172931,5,2019-990,135997,0,263755,201812,216597,149048,ELLIS COUNTY HISTORICAL SOCIETY,KS,712120.0,A82
119474,0.0,0.0,180340.65,237438056,0,2019-990,360252,0,400757,201812,110124,384247,NORTHWEST TREK FOUNDATION,WA,712130.0,D50
119517,0.0,0.0,68930.1,43380711,0,2019-990,153178,0,153178,201812,122106,153178,THE COMMITTEE TO RESTORE THE ABYSSINIAN MEETINGHOUSE,ME,712120.0,A82
119569,18619.0,8378.550000000001,316847.7,208540744,5,2019-990,685487,18619,704106,201812,574797,704106,516 ARTS,NM,712110.0,A51
119650,38550.0,17347.5,51085.8,592383891,1,2019-990,34265,38550,113524,201812,113716,104908,USEPPA ISLAND HISTORICAL SOCIETY INC,FL,712120.0,A82
119661,0.0,0.0,33571.35,204469430,0,2019-990,74603,0,74603,201812,84916,74603,AMERICAN STEAM RAILROADPRESERVATION ASSOCIATION INC,OH,712110.0,A54
119745,19383.0,8722.35,925042.5,156024061,8,2019-990,2014985,19383,2055650,201906,748500,2049836,HISTORY CENTER IN TOMPKINS COUNTY,NY,712120.0,A82
119823,529383.0,238222.35,861112.35,237102744,44,2019-990,893383,529383,1913583,201812,1463352,1540543,HERRESHOFF MARINE MUSEUM,RI,712110.0,A54
119875,2656956.15,2147663.25,2656956.15,464411915,24,2019-990,637286,4772585,5904347,201812,4108929,5649278,AMERICAN HORTICULTURE INDUSTRY ASSOCIATION,OH,712130.0,C40
119897,76545.0,34445.25,2523142.8000000003,222474846,23,2019-990,192817,76545,5606984,201812,679577,560507,OLD YORK HISTORICAL SOCIETY,ME,712120.0,A82
119908,823668.0,370650.60000000003,868326.75,261253086,60,2019-990,1006698,823668,1929615,201812,1776382,1894842,SITKA SOUND SCIENCE CENTER,AK,712110.0,A57
119917,0.0,0.0,99677.25,592335319,0,2019-990,9939,0,221505,201812,133493,138734,AMERCIAN LEGION,FL,712120.0,A80
119965,0.0,0.0,44106.75,311610615,0,2019-990,0,0,98015,201812,5475,49361,LAIRD FOUNDATION FOR HISTORIC PRESERVATION INC,WI,712120.0,A82
119975,0.0,0.0,17162.100000000002,221911164,0,2019-990,12329,0,38138,201906,26043,27189,MEDFORD HISTORICAL SOCIETY,NJ,712120.0,A82
120068,0.0,0.0,36417.15,66073400,1,2019-990,61063,0,80927,201812,85818,80788,CORNWALL HISTORICAL SOCIETY INCORPORATED,CT,712120.0,A82
120095,942114.6,734737.05,942114.6,223074470,28,2019-990,290939,1632749,2093588,201812,2131042,2010252,ADIRONDACK RAILWAY PRESERVATION SOCIETY,NY,712120.0,A82
120123,721578.6,712125.4500000001,721578.6,740706477,0,2019-990,0,1582501,1603508,201812,1505392,1603508,INTERNATIONAL LONGSHOREMENS ASSOCIATION,TX,712110.0,A54
120159,488840.0,219978.0,635570.55,20363746,38,2019-990,647884,488840,1412379,201906,1098832,1278784,THE CHILDRENS MUSEUM OF NEW HAMPSHIRE,NH,712110.0,A52
120167,23962.0,10782.9,218235.6,611195581,5,2019-990,85156,23962,484968,201812,220257,342680,OLDHAM CO HISTORICAL SOCIETY INC,KY,712120.0,A82
120187,0.0,0.0,657059.85,720273220,3,2019-990,1449533,0,1460133,201812,1498761,1460133,NEW ORLEANS STEAMSHIP ASSOCIATION,LA,712110.0,A54
